,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,label
0,-1.44,-1.84,-2.27,-1.84,-1.45,-1.3,-1.84,-1.3,-1.45,-1.28,-1.44,-1.44,-1,-1,-1.28,-1.28,-1.28,-1.84,-1.45,-1.3,-1.44,-1.28,-1.84,-1.84,-1.28,-0.58,-1,-0.88,-1.28,-1.28,-1.44,-2.27,-1.45,-1.45,-1.28,-1,-1,-0.58,-1.3,-1.3,-0.88,-1,-1,-1.44,-2.27,-1.84,-1.84,-1.28,-1,-0.58,-1.45,-1.28,-1.44,-1.3,-1,-1,-0.88,-1,-1,-1,-1.28,-1.84,-1.28,-1,-1.44,-1.3,-1.45,-1.45,-0.88,-0.58,-1,-0.88,-1.44,-1.84,-1.44,-0.58,-1.3,-1.84,-1.3,-1.3,-1.3,-0.88,-0.58,-1.45,-1.45,-0.88,-1,-0.58,-1.3,-1.84,-1.3,-1,-1,-1.3,-1.84,-1.84,-2.27,-1.28,-1,1
1,-1.45,-1.45,-0.88,-1,-1.44,-2.27,-1.45,-1.45,-1.84,-1.45,-1.3,-2.27,-1.28,-0.58,-1,-1,-1.3,-1.3,-1.45,-2.24,-1.84,-1.44,-1,-1,-1,-1.28,-1.84,-1.84,-1.84,-1.45,-0.88,-1.28,-1.84,-1.28,-0.58,-1,-1.45,-1.84,-1.84,-1.45,-1.3,-1.84,-1.44,-0.58,-1.3,-2.27,-1.84,-1.45,-1.3,-1.84,-1.84,-2.27,-1.84,-1.45,-1,-1.45,-1.84,-1.84,-1.45,-0.88,-1,-1.28,-1.28,-1.28,-2.24,-1.44,-1,-0.58,-1.3,-1.3,-1,-0.88,-1.44,-2.27,-1.84,-1.45,-1.45,-1.28,-1.44,-1.84,-1.3,-1,-1.3,-2.27,-1.84,-1.28,-0.58,-1.3,-1.84,-2.27,-1.28,-1,-1.44,-1.84,-2.27,-1.45,-1.3,-1.44,-0.58,1
2,-1.84,-1.45,-0.88,-1.44,-1.84,-1.44,-1,-1.44,-2.27,-1.84,-1.45,-0.88,-0.58,-1.3,-1.84,-1.44,-1,-1.28,-1.84,-1.45,-1.3,-1.44,-1.28,-1.45,-1,-1,-1,-0.88,-1,-1,-1,-1.44,-2.27,-1.28,-1.44,-1.3,-1.3,-1.84,-2.27,-2.24,-1.3,-1.3,-1.3,-0.88,-1.28,-1.45,-1,-1.3,-2.27,-1.84,-1.45,-1.3,-1.44,-1.44,-2.27,-1.84,-2.24,-1.84,-1.44,-1.28,-1.45,-1,-0.88,-1.44,-1.3,-1.3,-1.3,-1.45,-1.45,-1,-0.88,-0.58,-1,-1,-1,-1.3,-1.84,-1.44,-1,-0.58,-1.45,-2.24,-1.44,-1.28,-1.84,-1.84,-1.84,-1.45,-1,-1,-0.88,-1,-1.44,-2.27,-1.84,-1.28,-1,-1.44,-1.84,1
3,-2.24,-1.3,-0.88,-1.28,-2.24,-2.27,-1.84,-1.28,-1.44,-1.84,-1.84,-1.84,-1.84,-1.3,-1,-1.3,-2.27,-1.45,-0.88,-1,-0.58,-1.45,-1.45,-1.3,-2.27,-2.24,-2.27,-1.45,-0.88,-1,-1.44,-1.3,-1,-1.45,-1.45,-1.3,-1.84,-2.27,-1.45,-1.3,-1.84,-2.27,-1.45,-0.88,-1,-1.28,-2.24,-1.44,-1,-0.58,-0.88,-0.58,-1.3,-1.44,-1,-1.44,-1.3,-0.88,-1,-1.44,-1.84,-1.44,-1.44,-2.27,-2.24,-1.3,-0.88,-1,-0.58,-1.45,-1.45,-1,-0.88,-1.28,-1.45,-1,-0.88,-1,-0.58,-1,-1.45,-1.45,-1.45,-1.28,-1,-0.58,-1,-1,-0.88,-1.28,-1.84,-1.28,-1.28,-1.28,-1.44,-1.84,-1.84,-1.84,-1.3,1
4,-1.45,-1.45,-0.88,-0.58,-1.3,-2.27,-1.84,-1.45,-0.88,-1,-0.58,-1,-1,-1,-0.88,-1.28,-2.24,-2.27,-1.28,-1.28,-1.45,-1,-0.88,-1,-1,-1,-1,-1.28,-1.28,-1,-1.28,-1.28,-1,-0.58,-1,-1,-1,-1,-0.88,-1,-0.58,-1,-0.88,-0.58,-1,-1,-0.88,-0.58,-1,-1,-1,-1.3,-1.44,-1.28,-1.84,-1.84,-1.28,-0.58,-1,-0.88,-1.44,-1.3,-0.88,-1.44,-1.84,-1.44,-0.58,-0.88,-1,-1,-0.58,-1.3,-2.27,-1.28,-0.58,-1,-1,-0.88,-0.58,-0.88,-1.44,-1.84,-2.27,-1.84,-1.84,-1.28,-1.44,-1.84,-1.84,-2.27,-1.28,-0.58,-1.3,-1.44,-1.28,-1.28,-1.44,-1.44,-1.44,1
5,-1.28,-1.28,-1.45,-1.45,-1.84,-1.45,-1,-1.3,-1.84,-1.3,-1.45,-1.28,-1.28,-1.28,-0.58,-1.3,-1.84,-1.44,-1,-1.28,-1.84,-1.84,-1.45,-1.3,-2.27,-1.28,-0.58,-1.3,-1.44,-1.44,-1.44,-1.44,-1.44,-1.28,-1.45,-1.3,-1.3,-1,-1.3,-1.44,-1,-1,-1.44,-1.44,-1,-1.28,-1.45,-1,-0.88,-1.44,-1.84,-1.3,-1.3,-2.27,-1.45,-1.45,-1.84,-1.45,-1,-1,-1,-0.88,-1,-1.28,-1.28,-1.44,-1.44,-0.58,-1.3,-1.3,-1.3,-1.44,-1.44,-1.84,-1.3,-1.3,-1.44,-1,-1.28,-1.28,-1.28,-1.84,-1.84,-1.84,-2.24,-1.44,-1.28,-1.28,-1.44,-1.44,-1,-1,-1,-1,-1,-1,-1.44,-1.3,-0.88,1
6,-0.58,-1.3,-2.27,-1.45,-1.45,-1.45,-1,-1,-0.88,-1,-1.28,-1.84,-1.28,-1,-1.44,-1.84,-1.84,-1.84,-2.27,-1.45,-1.3,-1.84,-1.3,-1.45,-1.45,-1,-1,-1,-1,-1,-1.3,-1.3,-0.88,-1.28,-2.24,-1.44,-1,-0.58,-1,-1,-1,-1,-0.88,-1,-1.44,-1.44,-1.28,-1.45,-1,-1.3,-1.84,-2.27,-2.24,-2.27,-1.45,-1.3,-1.3,-1,-1,-1.45,-1.28,-0.58,-1.3,-2.27,-1.84,-1.28,-0.58,-1,-1.3,-1.3,-0.88,-1.44,-1.3,-1.3,-1.3,-1.45,-1.84,-1.84,-1.45,-0.88,-0.58,-0.88,-0.58,-1,-1,-1.3,-1.3,-1,-0.88,-1,-1.44,-1.44,-1.28,-1.28,-1,-1.44,-2.27,-2.24,-1.3,1
7,-1,-0.88,-0.58,-1,-0.88,-1,-1,-1,-1.44,-2.27,-1.28,-1.28,-1.84,-1.28,-1.28,-1.84,-1.28,-1,-1.44,-1.84,-1.44,-1,-1.28,-1.45,-1,-0.88,-1.28,-1.84,-1.28,-1.44,-1.84,-1.84,-1.84,-1.84,-1.3,-1.3,-1.44,-1,-1,-1,-1,-1,-1.28,-1.28,-1,-1.28,-1.28,-1.28,-1.45,-1.3,-1.3,-0.88,-1.44,-1.84,-1.84,-2.27,-2.24,-1.84,-2.27,-1.45,-1,-1.45,-1.84,-1.84,-1.84,-2.24,-1.44,-0.58,-1,-1.3,-1.3,-0.88,-1,-1.44,-1.84,-1.84,-1.3,-1,-1.3,-1.3,-0.88,-1,-0.58,-1.3,-1.44,-1,-1,-1,-0.58,-1.3,-2.27,-1.28,-1,-0.58,-1,-1.3,-2.27,-1.45,-1,1
8,-1.3,-1.44,-1,-1.28,-2.24,-2.27,-1.84,-1.45,-0.88,-1,-1.28,-1.84,-1.45,-1.45,-1.84,-2.24,-2.27,-1.28,-0.58,-1,-1,-1.45,-1.84,-1.28,-0.58,-1.45,-1.45,-1.45,-1.84,-1.84,-1.45,-1.45,-2.24,-1.84,-2.27,-1.28,-1.44,-1.44,-0.58,-1.45,-1.84,-1.84,-1.45,-1.3,-1.84,-1.84,-2.27,-1.45,-1,-1.45,-1.45,-1.3,-2.27,-1.45,-1.45,-1.45,-1,-0.88,-0.58,-1,-1,-1,-1.3,-2.27,-2.24,-2.27,-1.28,-0.58,-0.88,-1.44,-1.44,-1,-0.58,-1.3,-1.3,-1,-0.88,-1.28,-1.45,-1.3,-2.27,-1.45,-1,-0.88,-0.58,-1.45,-1.45,-1.45,-1.45,-1.3,-1.84,-1.84,-2.27,-1.45,-1.45,-2.24,-2.27,-1.28,-1.44,1
9,-1.84,-2.24,-1.84,-1.44,-1.44,-1.3,-1,-1,-1.45,-2.24,-1.3,-1.3,-1.84,-1.84,-1.3,-1,-1.45,-1.28,-1.44,-1.3,-0.88,-1,-1.44,-2.27,-1.84,-1.84,-1.84,-1.84,-2.24,-1.84,-2.27,-2.24,-1.44,-1,-1.44,-1.3,-1,-0.88,-0.58,-1,-0.88,-1,-0.58,-1.3,-1.84,-1.44,-1.28,-1.84,-1.84,-1.84,-1.84,-1.45,-1.3,-2.27,-2.24,-1.84,-1.84,-2.27,-1.84,-1.45,-0.88,-1,-0.58,-1.45,-1.84,-1.45,-0.88,-0.58,-1.3,-1.84,-1.3,-0.88,-1.44,-1.3,-1,-1.3,-1.84,-1.84,-1.3,-1.3,-1.84,-1.3,-1.45,-1.28,-0.58,-1.3,-1.3,-1.3,-1.84,-1.44,-1.28,-1.28,-1,-1.28,-1.84,-1.84,-1.28,-1,-1,1
